单词,读法,词类,翻译,音调,
中国人,ちゅうごくじん,名,中国人,4,中国人
日本人,にほんじん,名,日本人,4,日本人
韓国人,かんこくじん,名,韩国人,4,韓国人
アメリカ人,アメリカじん,名,美国人,4,アメリカ人
フランス人,フランスじん,名,法国人,4,フランス人
学生,がくせい,名,（大）学生,0,学生
先生,せんせい,名,老师,0,先生
留学生,りゅうがくせい,名,留学生,3,留学生
教授,きょうじゅ,名,教授,0,教授
社員,しゃいん,名,职员,1,社員
会社員,かいしゃいん,名,公司职员,3,会社員
店員,てんいん,名,店员,0,店員
研修生,けんしゅうせい,名,进修生,3,研修生
企業,きぎょう,名,企业,1,企業
大学,だいがく,名,大学,0,大学
父,ちち,名,（我）父亲,1,父
課長,かちょう,名,科长,0,課長
社長,しゃちょう,名,社长,0,社長
出迎え,でむかえ,名,迎接,0,出迎え
あの人,あのひと,名,那个人,2,あの人
私,わたし,代,我,0,私
あなた,あなた,代,你,2,あなた
どうも,どうも,副,非常，很,1,どうも
はい,はい,叹,哎，是；是的,1,はい
いいえ,いいえ,叹,不，不是,3,いいえ
あっ,あっ,叹,哎， 哎呀,0,あっ
李,り,专,李,1,李
王,おう,专,王,1,王
張,ちょう,专,张,1,張
森,もり,专,森,0,森
林,はやし,专,林,0,林
小野,おの,专,小野,0,小野
吉田,よしだ,专,吉田,0,吉田
田中,たなか,专,田中,0,田中
中村,なかむら,专,中村,0,中村
太郎,たろう,专,太郎,1,太郎
金,キム,专,金,1,キム
デュポン,デュポン,专,迪蓬,1,デュポン
スミス,スミス,专,史密斯,1,スミス
ジョンソン,ジョンソン,专,约翰逊,1,ジョンソン
中国,ちゅうごく,专,中国,1,中国
東京大学,とうきょうだいがく,专,东京大学,5,東京大学
北京大学,ペキンだいがく,专,北京大学,4,北京大学
ジェーシー企画,ジェーシーきかく,专,JC策划公司,5,じぇーしー企画
北京旅行社,ペキンりょこうしゃ,专,北京旅行社,5,ペキン旅行社
日中商事,にっちゅうしょうじ,专,日中商社,5,日中商事
こんにちは,こんにちは,,你好,5,こんにちは
すみません,すみません,,对不起，请问,4,すみません
どうぞ,どうぞ,,请,1,どうぞ
よろしくお願いします,よろしくおねがいします,,请多关照,,よろしくお願いします
初めまして,はじめまして,,初次见面,4,初めまして
こちらこそ,こちらこそ,,我才要（请您~）,4,こちらこそ
そうです,そうです,,是（这样）,1,そうです
ちがいます,ちがいます,,不是,4,違います
分かりません,わかりません,,不知道,5,分かりません
どうもすみません,どうもすみません,,实在对不起,,どうもすみません
さん、ちゃん、君,さん、ちゃん、くん,,先生、小姐,,
